1	Alabama	13-1	1521	-	vs #2GeorgiaW26-23	-
2	Georgia	13-2	1454	-	vs #1AlabamaL26-23	-
3	Oklahoma	12-2	1374	-	vs #2GeorgiaL54-48	-
4	Clemson	12-2	1292	-	vs #1AlabamaL24-6	-
5	Ohio State	12-2	1286	-	vs #12USCW24-7	-
6	UCF	13-0	1248	-	vs #10AuburnW34-27	-
7	Wisconsin	13-1	1194	-	@ #13MiamiW34-24	-
8	Penn State	11-2	1120	-	vs #16WashingtonW35-28	-
9	TCU	11-3	974	-	vs #20StanfordW39-37	-
10	Auburn	10-4	917	-	vs #6UCFL34-27	-
11	Notre Dame	10-3	857	-	vs #18LSUW21-17	-
12	USC	11-3	839	-	vs #5Ohio StateL24-7	-
13	Miami	10-3	769	-	vs #7WisconsinL34-24	-
14	Oklahoma State	10-3	758	-	vs #24Virginia TechW30-21	-
15	Michigan State	10-3	705	-	vsWashington StateW42-17	-
16	Washington	10-3	668	-	vs #8Penn StateL35-28	-
17	Northwestern	10-3	528	-	vsKentuckyW24-23	-
18	LSU	9-4	368	-	vs #11Notre DameL21-17	-
19	Mississippi State	9-4	359	-	vsLouisvilleW31-27	-
20	Stanford	9-5	336	-	vs #9TCUL39-37	-
21	South Florida	10-2	267	-	vsTexas TechW38-34	-
22	Boise State	11-3	251	-	vsOregonW38-28	-
23	NC State	9-4	232	NR	vsArizona StateW52-31	-
24	Virginia Tech	9-4	126	-	vs #14Oklahoma StateL30-21	-
