1	GeorgiaUGa	14-1	1550	62	3	+2	1/5
2	AlabamaAla	13-2	1488	0	1	-1	1/5
3	MichiganMich	12-2	1398	0	2	-1	2/NR
4	CincinnatiCin	13-1	1346	0	4	-	2/10
5	Ohio StateOhioSt	11-2	1279	0	7	+2	3/12
6	BaylorBaylor	12-2	1275	0	6	-	6/NR
7	Oklahoma StateOkSt	12-2	1197	0	9	+2	5/23
8	Michigan StateMSU	11-2	1066	0	10	+2	6/NR
9	Notre DameND	11-2	1028	0	5	-4	5/13
10	OklahomaOkla	11-2	994	0	13	+3	2/13
11	MississippiMiss	10-3	909	0	8	-3	8/25
12	UtahUtah	10-4	877	0	11	-1	11/NR
13	PittsburghPitt	11-3	742	0	12	-1	12/NR
14	Wake ForestWake	11-3	609	0	19	+5	9/NR
15	KentuckyKty	10-3	592	0	20	+5	11/NR
16	ClemsonClem	10-3	528	0	22	+6	2/NR
17	HoustonHou	12-2	510	0	21	+4	16/NR
18	UL LafayetteUL-Laf	13-1	502	0	17	-1	17/NR
19	NC StateNCSU	9-3	453	0	18	-1	18/NR
20	ArkansasArk	9-4	354	0	24	+4	11/NR
21	OregonOregon	10-4	336	0	15	-6	3/21
22	Brigham YoungBYU	10-3	284	0	14	-8	10/NR
23	IowaIowa	10-4	276	0	16	-7	2/23
24	Utah StateUtahSt	11-3	142	0	NR	+3	24/NR
